,Train MAE,Validation MAE,Train MSE,Validation MSE,Train RMSE,Validation RMSE,Train R2,Validation R2
Dummy,2.482238628698275,2.5346032840853963,8.428713838064578,8.706449179722782,2.9032247308922847,2.9506692765748554,0.0,-0.0015680839116143375
Linear Regression,2.4789539900123576,2.5354836613503267,8.412589125832215,8.71259199865474,2.9004463666532803,2.9517100126290763,0.0019130691280018208,-0.0022747383996259973
Ridge Regression,2.478954617272392,2.535482413586481,8.412589129035005,8.712581461415237,2.9004463672054004,2.9517082276904056,0.0019130687480162223,-0.002273526222013489
Decision Tree,0.0,3.423839183156003,0.0,17.693916670907985,0.0,4.206413754126903,1.0,-1.0354638097752438
Random Forest,0.9453606520573166,2.6174145427363325,1.2627986748165725,9.290229758043866,1.1237431534014224,3.0479878211770903,0.850178959794115,-0.06872473792569989
